Tag_Name,Text,Attributes,Description
abbr,t,{'title': 'Discuss this template'},HTML <abbr> tag from page about Nepal
li,e,{'class': ['nv-edit']},HTML <li> tag from page about Nepal
a,e,"{'href': '/wiki/Special:EditPage/Template:Nepal_topics', 'title': 'Special:EditPage/Template:Nepal topics'}",HTML <a> tag from page about Nepal
abbr,e,{'title': 'Edit this template'},HTML <abbr> tag from page about Nepal
div,Nepalarticles,"{'id': 'Nepal_articles13264', 'style': 'font-size:114%;margin:0 4em'}",HTML <div> tag from page about Nepal
a,Nepal,"{'class': ['mw-selflink', 'selflink']}",HTML <a> tag from page about Nepal
a,articles,"{'href': '/wiki/Outline_of_Nepal', 'title': 'Outline of Nepal'}",HTML <a> tag from page about Nepal
tr,HistoryAncientBhadrabahuShakya RepublicGautama BuddhaMaya (mother of Buddha)Kirata kingdomYalamberLichchhavi ruleManadevaAmshuvermaBhrikutiAranikoMedievalandmodernArimallaKhasa kingdomBaise RajyaChaub,{},HTML <tr> tag from page about Nepal
th,History,"{'scope': 'row', 'class': ['navbox-group'], 'style': 'width:1%'}",HTML <th> tag from page about Nepal
a,History,"{'href': '/wiki/History_of_Nepal', 'title': 'History of Nepal'}",HTML <a> tag from page about Nepal
td,AncientBhadrabahuShakya RepublicGautama BuddhaMaya (mother of Buddha)Kirata kingdomYalamberLichchhavi ruleManadevaAmshuvermaBhrikutiAranikoMedievalandmodernArimallaKhasa kingdomBaise RajyaChaubisi Raj,"{'class': ['navbox-list-with-group', 'navbox-list', 'navbox-odd'], 'style': 'width:100%;padding:0'}",HTML <td> tag from page about Nepal
div,,{'style': 'padding:0 0.25em'},HTML <div> tag from page about Nepal
table,AncientBhadrabahuShakya RepublicGautama BuddhaMaya (mother of Buddha)Kirata kingdomYalamberLichchhavi ruleManadevaAmshuvermaBhrikutiAranikoMedievalandmodernArimallaKhasa kingdomBaise RajyaChaubisi Raj,"{'class': ['nowraplinks', 'navbox-subgroup'], 'style': 'border-spacing:0'}",HTML <table> tag from page about Nepal
tbody,AncientBhadrabahuShakya RepublicGautama BuddhaMaya (mother of Buddha)Kirata kingdomYalamberLichchhavi ruleManadevaAmshuvermaBhrikutiAranikoMedievalandmodernArimallaKhasa kingdomBaise RajyaChaubisi Raj,{},HTML <tbody> tag from page about Nepal
tr,AncientBhadrabahuShakya RepublicGautama BuddhaMaya (mother of Buddha)Kirata kingdomYalamberLichchhavi ruleManadevaAmshuvermaBhrikutiAraniko,{},HTML <tr> tag from page about Nepal
th,Ancient,"{'scope': 'row', 'class': ['navbox-group'], 'style': 'width:1%;padding-left:0.5em;padding-right:0.5em;font-weight:normal;'}",HTML <th> tag from page about Nepal
td,BhadrabahuShakya RepublicGautama BuddhaMaya (mother of Buddha)Kirata kingdomYalamberLichchhavi ruleManadevaAmshuvermaBhrikutiAraniko,"{'class': ['navbox-list-with-group', 'navbox-list', 'navbox-odd'], 'style': 'width:100%;padding:0'}",HTML <td> tag from page about Nepal
div,Bhadrabahu,{'style': 'padding:0 0.25em'},HTML <div> tag from page about Nepal
ul,Bhadrabahu,{},HTML <ul> tag from page about Nepal
li,Bhadrabahu,{},HTML <li> tag from page about Nepal
a,Bhadrabahu,"{'href': '/wiki/Bhadrabahu', 'class': ['mw-redirect'], 'title': 'Bhadrabahu'}",HTML <a> tag from page about Nepal
table,Shakya RepublicGautama BuddhaMaya (mother of Buddha)Kirata kingdomYalamberLichchhavi ruleManadevaAmshuvermaBhrikutiAraniko,"{'class': ['nowraplinks', 'navbox-subgroup'], 'style': 'border-spacing:0'}",HTML <table> tag from page about Nepal
tbody,Shakya RepublicGautama BuddhaMaya (mother of Buddha)Kirata kingdomYalamberLichchhavi ruleManadevaAmshuvermaBhrikutiAraniko,{},HTML <tbody> tag from page about Nepal
tr,Shakya RepublicGautama BuddhaMaya (mother of Buddha),{},HTML <tr> tag from page about Nepal
th,Shakya Republic,"{'scope': 'row', 'class': ['navbox-group'], 'style': 'width:1%;padding-left:0.5em;padding-right:0.5em;font-weight:normal;'}",HTML <th> tag from page about Nepal
a,Shakya Republic,"{'href': '/wiki/Shakya', 'title': 'Shakya'}",HTML <a> tag from page about Nepal
td,Gautama BuddhaMaya (mother of Buddha),"{'class': ['navbox-list-with-group', 'navbox-list', 'navbox-even'], 'style': 'width:100%;padding:0'}",HTML <td> tag from page about Nepal
div,Gautama BuddhaMaya (mother of Buddha),{'style': 'padding:0 0.25em'},HTML <div> tag from page about Nepal
ul,Gautama BuddhaMaya (mother of Buddha),{},HTML <ul> tag from page about Nepal
li,Gautama Buddha,{},HTML <li> tag from page about Nepal
a,Gautama Buddha,"{'href': '/wiki/Gautama_Buddha', 'class': ['mw-redirect'], 'title': 'Gautama Buddha'}",HTML <a> tag from page about Nepal
li,Maya (mother of Buddha),{},HTML <li> tag from page about Nepal
